addressLine1,city,state,zipCode,formattedAddress,squareFootage,yearBuilt,bathrooms,bedrooms,lotSize,propertyType,longitude,latitude
1 Columbus Pl,New York,NY,10019,"1 Columbus Pl, Apt N9A, New York, NY 10019",0.0,0.0,0.0,0.0,0.0,Unknown,-73.985463,40.769346
5500 Sw 109th Street Rd,Ocala,FL,34476,"5500 Sw 109th Street Rd, Ocala, FL 34476",1335.0,1995.0,2.0,3.0,25700.0,Single Family,-82.211654,29.064197
1813 Edinburgh St,Metairie,LA,70001,"1813 Edinburgh St, Metairie, LA 70001",0.0,0.0,0.0,0.0,4275.0,Single Family,-90.143424,29.979505
5895 Kingsmont Dr,Fairfield,OH,45014,"5895 Kingsmont Dr, Fairfield, OH 45014",1088.0,1979.0,2.5,3.0,11761.0,Single Family,-84.533884,39.317403
4882 Wilkie Way NW,Acworth,GA,30102,"4882 Wilkie Way NW, Acworth, GA 30102",1792.0,1995.0,2.5,3.0,7561.0,Single Family,-84.605257,34.071661
345 Vernier Ave,Lafayette,CO,80026,"345 Vernier Ave, Lafayette, CO 80026",1962.0,1995.0,3.0,4.0,8102.0,Single Family,-105.107039,39.996515
PO Box 666,Vernon,TX,76385,"PO Box 666, Vernon, TX 76385",0.0,0.0,0.0,0.0,0.0,Unknown,-99.2834,34.1544
3900 Nebel St,Stevens Point,WI,54481,"3900 Nebel St, Stevens Point, WI 54481",2720.0,0.0,3.0,4.0,0.0,Single Family,-89.545927,44.503161
1321 Canterlane Dr,Houston,TX,77047,"1321 Canterlane Dr, Houston, TX 77047",1814.0,1955.0,2.0,3.0,11208.0,Single Family,-95.401733,29.619911
930 Willow Brook Ave,Denham Springs,LA,70726,"930 Willow Brook Ave, Denham Springs, LA 70726",1477.0,1979.0,2.0,4.0,15682.0,Single Family,-90.939542,30.495851
101 Halsey Ave,Reading,PA,19609,"101 Halsey Ave, Reading, PA 19609",1402.0,1956.0,1.0,3.0,11326.0,Single Family,-76.004313,40.319254
3356 Bowman St,Philadelphia,PA,19129,"3356 Bowman St, Philadelphia, PA 19129",1120.0,1945.0,1.0,3.0,1688.0,Single Family,-75.185959,40.012812
2601 Sunset Blvd,Minneapolis,MN,55416,"2601 Sunset Blvd, Apt B2, Minneapolis, MN 55416",0.0,0.0,0.0,0.0,0.0,Unknown,-93.320263,44.952871
1594 Sunview St,Muskegon,MI,49445,"1594 Sunview St, Muskegon, MI 49445",1236.0,1950.0,1.0,3.0,43560.0,Single Family,-86.27644599999999,43.281883
400 W St Elmo Rd,Austin,TX,78745,"400 W St Elmo Rd, Unit 8158, Austin, TX 78745",600.0,0.0,1.0,1.0,0.0,Apartment,-97.770152,30.220968
1319 Elmwood Ave SW,North Canton,OH,44720,"1319 Elmwood Ave SW, North Canton, OH 44720",1196.0,1974.0,2.5,3.0,7449.0,Single Family,-81.402493,40.863235
